from,to
2013,Commission
2013,Dell
2013,Enterprise Services
2013,General Counsel
2013,Google
2013,IBM
2013,Information Systems Division
2013,Kinect
2013,Linux
2013,Lync
2013,MBD
2013,MSN
2013,Microsoft
2013,Microsoft Business Division
2013,Microsoft Dynamics
2013,Microsoft Dynamics CRM Online
2013,Microsoft Office
2013,Microsoft Office Web Apps
2013,Microsoft Online Services
2013,Microsoft Research
2013,Microsoft Stores
2013,Nintendo
2013,Nokia
2013,Office
2013,Online Services Division
2013,Open Programs
2013,Oracle
2013,PHP
2013,Principal Products Services
2013,SAP
2013,SEC
2013,Select Plus Program
2013,Server Tools
2013,SharePoint
2013,Skype
2013,Sony
2013,Surface
2013,Surface Pro
2013,Surface RT
2013,Windows Division
2013,Yahoo
2013,Yammer
2014,Amazon
2014,Android
2014,Apple
2014,Bing
2014,CA Technologies
2014,Cisco Systems
2014,Commercial Licensing
2014,Commercial Other
2014,Commission
2014,Computing Gaming Hardware
2014,D C
2014,D C Hardware
2014,D C Licensing
2014,Dell
2014,General Counsel
2014,Google
2014,Human Resources
2014,IBM
2014,Information Systems Division
2014,Investor Relations
2014,Linux
2014,Lumia
2014,Lync
2014,MSN
2014,Microsoft
2014,Microsoft Azure
2014,Microsoft Business Division
2014,Microsoft Consulting Services
2014,Microsoft Dynamics
2014,Microsoft Dynamics CRM Online
2014,Microsoft Office
2014,Microsoft Office Exchange
2014,Microsoft Online Services
2014,Microsoft Research
2014,NDS
2014,Nintendo
2014,Nokia
2014,Office
2014,Office Commercial
2014,Office Consumer
2014,Online Services Division
2014,Open Programs
2014,Oracle
2014,PHP
2014,Phone Hardware
2014,SAP
2014,SEC
2014,Samsung
2014,Select Plus Program
2014,SharePoint
2014,Skype
2014,Sony
2014,Xbox Live
2014,Yahoo
2014,Yammer
2015,Amazon
2015,Android
2015,Apple
2015,Bing
2015,Board Directors
2015,Business Development
2015,CA Technologies
2015,Cisco Systems
2015,Commercial Licensing
2015,Commission
2015,Computing Gaming Hardware
2015,Computing Gaming Hardware Phone Hardware
2015,D C
2015,D C Licensing
2015,Dell
2015,Enterprise Services
2015,Exchange
2015,General Counsel
2015,Google
2015,IBM
2015,Information Systems Division
2015,Investor Relations
2015,Linux
2015,Lumia
2015,MPSA
2015,MSN
2015,Microsoft
2015,Microsoft Azure
2015,Microsoft Business Division
2015,Microsoft Consulting Services
2015,Microsoft Dynamics
2015,Microsoft Office
2015,Microsoft Research
2015,Minecraft
2015,Mojang
2015,NDS
2015,Nintendo
